UserId;MFAMethod;CreatedAt;ClientIP;Application;Browser;OS;Unit;Title
U0001;TOTP;2025-07-01 12:40:53;192.168.151.104;CRM;Chrome;Windows 11;Finans;Scrum Master
U0001;TOTP;2025-07-02 10:37:11;10.92.185.143;HelpDesk;Chrome;Windows 11;Finans;Scrum Master
U0001;SMS;2025-07-03 11:12:19;10.92.185.143;CRM;Chrome;Windows 11;Finans;Scrum Master
U0001;SMS;2025-07-04 09:33:54;109.43.44.248;HR System;Chrome;Windows 11;Finans;Scrum Master
U0001;Push;2025-07-04 10:12:05;192.168.151.104;HR System;Chrome;Windows 11;Finans;Scrum Master
U0001;SMS;2025-07-06 12:29:58;192.168.151.104;HR System;Chrome;Windows 11;Finans;Scrum Master
U0001;TOTP;2025-07-07 11:53:35;192.168.151.104;HR System;Chrome;Windows 11;Finans;Scrum Master
U0001;TOTP;2025-07-08 09:23:45;44.242.152.151;HR System;Chrome;Android;Finans;Scrum Master
U0001;SMS;2025-07-08 10:32:09;10.92.185.143;HR System;Chrome;Windows 10;Finans;Scrum Master
U0001;TOTP;2025-07-08 08:29:52;192.168.151.104;HR System;Firefox;Windows 11;Finans;Scrum Master
U0001;Push;2025-07-10 08:07:53;111.153.130.32;DataLake UI;Firefox;Windows 11;Finans;Scrum Master
U0001;TOTP;2025-07-11 11:42:24;10.92.185.143;HR System;Chrome;macOS;Finans;Scrum Master
U0001;TOTP;2025-07-11 11:51:31;196.57.248.14;CRM;Chrome;Windows 11;Finans;Scrum Master
U0001;SMS;2025-07-11 08:06:15;192.168.151.104;CRM;Chrome;Windows 11;Finans;Scrum Master
U0001;SMS;2025-07-14 13:02:05;192.168.151.104;HelpDesk;Chrome;Android;Finans;Scrum Master
U0001;TOTP;2025-07-14 09:53:20;10.92.185.143;HR System;Chrome;Windows 11;Finans;Scrum Master
U0001;TOTP;2025-07-16 10:35:10;10.92.185.143;CRM;Chrome;Windows 11;Finans;Scrum Master
U0001;TOTP;2025-07-17 10:09:41;10.92.185.143;HelpDesk;Chrome;Windows 11;Finans;Scrum Master
U0001;SMS;2025-07-18 11:17:07;10.92.185.143;HR System;Chrome;Windows 11;Finans;Scrum Master
U0001;SecurityKey;2025-07-18 22:15:04;192.168.151.104;FinanceApp;Chrome;Windows 11;Finans;Scrum Master
U0001;SMS;2025-07-19 13:40:49;192.168.151.104;HelpDesk;Chrome;Windows 11;Finans;Scrum Master
U0001;SMS;2025-07-20 10:43:38;10.92.185.143;CRM;Chrome;Windows 11;Finans;Scrum Master
U0001;TOTP;2025-07-21 08:14:32;10.92.185.143;HR System;Chrome;Windows 11;Finans;Scrum Master
U0001;TOTP;2025-07-21 14:40:52;10.92.185.143;CRM;Chrome;Windows 11;Finans;Scrum Master
U0001;TOTP;2025-07-21 14:39:45;10.92.185.143;HR System;Chrome;Windows 11;Finans;Scrum Master
U0001;SecurityKey;2025-07-22 12:30:32;58.126.197.62;HelpDesk;Chrome;macOS;Finans;Scrum Master
U0001;SMS;2025-07-22 12:52:53;192.168.151.104;CRM;Chrome;Windows 11;Finans;Scrum Master
U0001;TOTP;2025-07-22 23:54:46;10.92.185.143;HR System;Chrome;Windows 11;Finans;Scrum Master
U0001;SMS;2025-07-23 07:23:41;192.168.151.104;HelpDesk;Edge;Windows 11;Finans;Scrum Master
U0001;TOTP;2025-07-24 23:57:54;10.92.185.143;HelpDesk;Chrome;Windows 11;Finans;Scrum Master
U0001;SMS;2025-07-25 09:18:01;192.168.151.104;HelpDesk;Chrome;Windows 11;Finans;Scrum Master
U0001;SMS;2025-07-25 09:15:10;10.92.185.143;DocManager;Chrome;Windows 11;Finans;Scrum Master
U0001;TOTP;2025-07-26 02:56:03;10.92.185.143;CRM;Chrome;Windows 11;Finans;Scrum Master
U0001;SMS;2025-07-26 11:35:41;62.194.117.181;CRM;Chrome;Windows 11;Finans;Scrum Master
U0001;TOTP;2025-07-27 09:13:27;192.168.151.104;DocManager;Chrome;Windows 11;Finans;Scrum Master
U0001;TOTP;2025-07-28 09:03:12;192.168.151.104;HR System;Chrome;Windows 11;Finans;Scrum Master
U0001;SMS;2025-07-28 10:33:15;192.168.151.104;DataLake UI;Chrome;Windows 11;Finans;Scrum Master
